name,genre,released,score,star,country,budget,gross,star2,star3
The Whole Ten Yards,Comedy,"April 9, 2004 (United States)",5.5,Bruce Willis,United States,40000000,26170671,Matt Damon,Lupita Nyong'o
Envy,Comedy,"April 30, 2004 (United States)",4.8,Ben Stiller,United States,40000000,14494036,Idris Elba,Emma Stone
Alfie,Comedy,"November 5, 2004 (United States)",6.2,Jude Law,United Kingdom,60000000,35060882,Colin Firth,Ryan Gosling
Superbabies: Baby Geniuses 2,Comedy,"August 27, 2004 (United States)",1.9,Jon Voight,Germany,20000000,9448644,Morgan Freeman,Scarlett Johansson
Johnson Family Vacation,Comedy,"April 7, 2004 (United States)",4.5,Cedric the Entertainer,United States,12000000,31326183,Daniel Day-Lewis,Javier Bardem
Spartan,Action,"March 12, 2004 (United States)",6.5,Val Kilmer,Germany,19250000,8112712,Brad Pitt,George Clooney
Home on the Range,Animation,"April 2, 2004 (United States)",5.4,Judi Dench,United States,110000000,145358062,Denzel Washington,Mark Ruffalo
Christmas with the Kranks,Comedy,"November 24, 2004 (United States)",5.4,Tim Allen,United States,60000000,96593018,Saoirse Ronan,Helen Mirren
Win a Date with Tad Hamilton!,Comedy,"January 23, 2004 (United States)",5.6,Kate Bosworth,United States,22000000,21513434,Julia Roberts,Nicole Kidman
Night Watch,Action,"March 3, 2006 (United States)",6.4,Konstantin Khabenskiy,Russia,4200000,50336279,Octavia Spencer,Scarlett Johansson
The Merchant of Venice,Drama,"February 18, 2005 (United States)",7.0,Al Pacino,United Kingdom,30000000,21560182,Robert De Niro,Morgan Freeman
Ladder 49,Action,"October 1, 2004 (United States)",6.5,Joaquin Phoenix,United States,55000000,100572044,Anne Hathaway,Michael Fassbender
You Got Served,Drama,"January 30, 2004 (United States)",3.9,Omarion,United States,8000000,50576805,Matt Damon,Anne Hathaway
Beyond the Sea,Biography,"December 29, 2004 (United States)",6.7,Kevin Spacey,United Kingdom,23000000,8447615,Joaquin Phoenix,Tilda Swinton
Eulogy,Comedy,"September 26, 2004 (Greece)",6.5,Ray Romano,United Kingdom,6500000,89781,Daniel Day-Lewis,Colin Firth
The Big Bounce,Comedy,"January 30, 2004 (United States)",4.9,Owen Wilson,United States,50000000,6808550,Sandra Bullock,Tilda Swinton
Veer-Zaara,Drama,"November 12, 2004 (India)",7.8,Shah Rukh Khan,India,7000000,6887221,Benedict Cumberbatch,Lupita Nyong'o
Little Black Book,Comedy,"August 6, 2004 (United States)",5.3,Brittany Murphy,United States,35000000,22035509,Rachel McAdams,Jennifer Aniston
Laws of Attraction,Comedy,"April 30, 2004 (United States)",5.9,Pierce Brosnan,Ireland,32000000,30031874,Michael Fassbender,Tom Hanks
Maria Full of Grace,Crime,"August 6, 2004 (United States)",7.4,Catalina Sandino Moreno,Colombia,3000000,12594630,Kate Winslet,Octavia Spencer
Vera Drake,Crime,"February 4, 2005 (United States)",7.6,Imelda Staunton,United Kingdom,11000000,13267869,Will Smith,Natalie Portman
It's All Gone Pete Tong,Biography,"May 27, 2005 (United Kingdom)",7.3,Paul Kaye,United Kingdom,2000000,1635056,Tom Hanks,Julia Roberts
Catch That Kid,Action,"February 6, 2004 (United States)",5.2,Kristen Stewart,United States,12000000,16951702,Cate Blanchett,Morgan Freeman
Tae Guk Gi: The Brotherhood of War,Action,"September 24, 2004 (United States)",8.0,Jang Dong-Gun,South Korea,12800000,76287982,Emma Stone,Tom Cruise
She Hate Me,Comedy,"July 30, 2004 (United States)",5.3,Anthony Mackie,United States,8000000,1526951,Lupita Nyong'o,Hugh Jackman
Welcome to Mooseport,Comedy,"February 20, 2004 (United States)",5.2,Gene Hackman,United States,30000000,14615099,Helen Mirren,Julia Roberts
Clifford's Really Big Movie,Animation,"April 23, 2004 (United States)",5.4,John Ritter,United States,70000,3255426,Cate Blanchett,Reese Witherspoon
Harry Potter and the Goblet of Fire,Adventure,"November 18, 2005 (United States)",7.7,Daniel Radcliffe,United Kingdom,150000000,896678241,Viola Davis,Javier Bardem
The 40-Year-Old Virgin,Comedy,"August 19, 2005 (United States)",7.1,Steve Carell,United States,26000000,177378645,Saoirse Ronan,Julia Roberts
Memoirs of a Geisha,Drama,"December 23, 2005 (United States)",7.3,Ziyi Zhang,France,85000000,162242962,Emma Stone,Emily Blunt
Pride & Prejudice,Drama,"November 23, 2005 (United States)",7.8,Keira Knightley,France,28000000,121616555,Michael Fassbender,Joaquin Phoenix
Batman Begins,Action,"June 15, 2005 (United States)",8.2,Christian Bale,United Kingdom,150000000,373661946,Viola Davis,Morgan Freeman
Brokeback Mountain,Drama,"January 13, 2006 (United States)",7.7,Jake Gyllenhaal,United States,14000000,178062759,Denzel Washington,Denzel Washington
Sin City,Crime,"April 1, 2005 (United States)",8.0,Mickey Rourke,United States,40000000,158733820,Meryl Streep,Natalie Portman
Charlie and the Chocolate Factory,Adventure,"July 15, 2005 (United States)",6.6,Johnny Depp,United Kingdom,150000000,474968763,Robert De Niro,Saoirse Ronan
V for Vendetta,Action,"March 17, 2006 (United States)",8.1,Hugo Weaving,United States,54000000,132511035,Samuel L. Jackson,Emma Stone
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,"December 9, 2005 (United States)",6.9,Tilda Swinton,United Kingdom,180000000,745013115,Morgan Freeman,Scarlett Johansson
Wedding Crashers,Comedy,"July 15, 2005 (United States)",6.9,Owen Wilson,United States,40000000,288467645,Marion Cotillard,Julia Roberts
War of the Worlds,Adventure,"June 29, 2005 (United States)",6.5,Tom Cruise,United States,132000000,603873119,Robert De Niro,Will Smith
Kingdom of Heaven,Action,"May 6, 2005 (United States)",7.2,Orlando Bloom,United Kingdom,130000000,218122627,Denzel Washington,Michael Fassbender
Constantine,Action,"February 18, 2005 (United States)",7.0,Keanu Reeves,United States,100000000,230884728,Jennifer Lawrence,Kate Winslet
Star Wars: Episode III - Revenge of the Sith,Action,"May 19, 2005 (United States)",7.5,Hayden Christensen,United States,113000000,868390560,Cate Blanchett,Colin Firth
King Kong,Action,"December 14, 2005 (United States)",7.2,Naomi Watts,United States,207000000,562363449,Marion Cotillard,Helen Mirren
The Hitchhiker's Guide to the Galaxy,Adventure,"April 29, 2005 (United States)",6.7,Martin Freeman,United Kingdom,50000000,104478416,Jennifer Lawrence,Helen Mirren
Fantastic Four,Action,"July 8, 2005 (United States)",5.7,Ioan Gruffudd,United States,100000000,333535934,Natalie Portman,Rachel McAdams
Serenity,Action,"September 30, 2005 (United States)",7.8,Nathan Fillion,United States,39000000,40445129,Javier Bardem,Jake Gyllenhaal
Mr. & Mrs. Smith,Action,"June 10, 2005 (United States)",6.5,Brad Pitt,United States,110000000,487287646,Marion Cotillard,Hugh Jackman
The Island,Action,"July 22, 2005 (United States)",6.8,Scarlett Johansson,United States,126000000,162949164,Hugh Jackman,Nicole Kidman
Waiting...,Comedy,"October 7, 2005 (United States)",6.7,Ryan Reynolds,United States,3000000,18637690,Saoirse Ronan,Cate Blanchett
Match Point,Drama,"January 20, 2006 (United States)",7.6,Scarlett Johansson,United Kingdom,15000000,85638656,Chris Evans,Natalie Portman
Hostel,Horror,"January 6, 2006 (United States)",5.9,Jay Hernandez,United States,4800000,81979826,Matt Damon,Marion Cotillard
Sky High,Adventure,"July 29, 2005 (United States)",6.2,Kurt Russell,United States,35000000,86369815,George Clooney,Marion Cotillard
Assault on Precinct 13,Action,"January 19, 2005 (United States)",6.3,Ethan Hawke,France,30000000,35294470,Emma Stone,Natalie Portman
Madagascar,Animation,"May 27, 2005 (United States)",6.9,Chris Rock,United States,75000000,542063846,Reese Witherspoon,Amy Adams
Hard Candy,Drama,"April 28, 2006 (United States)",7.1,Patrick Wilson,United States,950000,7022209,Christian Bale,Hugh Jackman
The Sisterhood of the Traveling Pants,Comedy,"June 1, 2005 (United States)",6.5,Amber Tamblyn,United States,25000000,42013878,Jennifer Aniston,Colin Firth
The Longest Yard,Comedy,"May 27, 2005 (United States)",6.4,Adam Sandler,United States,82000000,191466556,Matt Damon,Amy Adams
Red Eye,Thriller,"August 19, 2005 (United States)",6.5,Rachel McAdams,United States,26000000,96258201,Octavia Spencer,Lupita Nyong'o
House of Wax,Horror,"May 6, 2005 (United States)",5.4,Chad Michael Murray,Australia,40000000,68766121,Rachel McAdams,Brad Pitt
Four Brothers,Action,"July 1, 2005 (United States)",6.8,Mark Wahlberg,United States,45000000,92374674,Jennifer Aniston,Johnny Depp
The Dukes of Hazzard,Comedy,"August 5, 2005 (United States)",5.1,Seann William Scott,United States,50000000,111069515,Johnny Depp,Emma Stone
The Interpreter,Crime,"April 22, 2005 (United States)",6.4,Nicole Kidman,United Kingdom,80000000,162944923,Jennifer Aniston,Helen Mirren
Walk the Line,Biography,"November 18, 2005 (United States)",7.8,Joaquin Phoenix,United States,28000000,186797986,Helen Mirren,Brad Pitt
Lords of Dogtown,Biography,"June 3, 2005 (United States)",7.1,Heath Ledger,United States,25000000,13411957,Robert De Niro,Nicole Kidman
Munich,Action,"January 6, 2006 (United States)",7.5,Eric Bana,United States,70000000,130982129,Reese Witherspoon,Leonardo DiCaprio
Kiss Kiss Bang Bang,Comedy,"November 18, 2005 (United States)",7.5,Robert Downey Jr.,United States,15000000,15785148,Sandra Bullock,Tilda Swinton
The Constant Gardener,Drama,"August 31, 2005 (United States)",7.4,Ralph Fiennes,United Kingdom,25000000,82468097,Tom Cruise,Amy Adams
The Pacifier,Action,"March 4, 2005 (United States)",5.6,Vin Diesel,Canada,56000000,198636868,Samuel L. Jackson,Marion Cotillard
A History of Violence,Drama,"September 30, 2005 (United States)",7.4,Viggo Mortensen,Canada,32000000,61385065,Viola Davis,Christian Bale
The Devil's Rejects,Horror,"July 22, 2005 (United States)",6.8,Sid Haig,United States,7000000,20901859,Natalie Portman,Reese Witherspoon
Hitch,Comedy,"February 11, 2005 (United States)",6.6,Will Smith,United States,70000000,371594210,Viola Davis,Emma Stone
Mirrormask,Adventure,"March 3, 2006 (United Kingdom)",6.8,Stephanie Leonidas,United Kingdom,4000000,866999,Marion Cotillard,Jennifer Lawrence
Rent,Drama,"November 23, 2005 (United States)",6.9,Taye Diggs,United States,40000000,31670620,Will Smith,Matt Damon
Robots,Animation,"March 11, 2005 (United States)",6.3,Ewan McGregor,United States,75000000,262511490,Christian Bale,Javier Bardem
Jarhead,Action,"November 4, 2005 (United States)",7.0,Jake Gyllenhaal,United States,72000000,97076152,Natalie Portman,Brad Pitt
Into the Blue,Action,"September 30, 2005 (United States)",5.9,Paul Walker,United States,50000000,46117696,Charlize Theron,Benedict Cumberbatch
Saw II,Horror,"October 28, 2005 (United States)",6.6,Donnie Wahlberg,Canada,4000000,147748505,Amy Adams,Sandra Bullock
Flightplan,Drama,"September 23, 2005 (United States)",6.3,Jodie Foster,United States,55000000,223387299,Robert De Niro,Reese Witherspoon
Coach Carter,Biography,"January 14, 2005 (United States)",7.3,Samuel L. Jackson,United States,30000000,76669554,Kate Winslet,Sandra Bullock
Dark Water,Drama,"July 8, 2005 (United States)",5.6,Jennifer Connelly,United States,30000000,68357079,Tom Cruise,Meryl Streep
Lord of War,Action,"September 16, 2005 (United States)",7.6,Nicolas Cage,France,50000000,72617068,Jake Gyllenhaal,Matt Damon
Zathura: A Space Adventure,Action,"November 11, 2005 (United States)",6.2,Josh Hutcherson,United States,65000000,65079104,Benedict Cumberbatch,Javier Bardem
The Quiet,Crime,"August 25, 2006 (United States)",6.2,Camilla Belle,United States,900000,381420,Leonardo DiCaprio,Angelina Jolie
The Amityville Horror,Horror,"April 15, 2005 (United States)",6.0,Ryan Reynolds,United States,19000000,107516369,Michael Fassbender,George Clooney
Be Cool,Comedy,"March 4, 2005 (United States)",5.6,John Travolta,United States,53000000,95763716,Hugh Jackman,Christian Bale
"Yours, Mine & Ours",Comedy,"November 23, 2005 (United States)",5.5,Dennis Quaid,United States,45000000,72662923,Kate Winslet,Matt Damon
Cinderella Man,Biography,"June 3, 2005 (United States)",8.0,Russell Crowe,United States,88000000,108539911,Tom Hanks,Octavia Spencer
Nanny McPhee,Comedy,"January 27, 2006 (United States)",6.6,Emma Thompson,United States,25000000,123276807,Reese Witherspoon,Tilda Swinton
The Brothers Grimm,Action,"August 26, 2005 (United States)",5.9,Matt Damon,United States,88000000,105316267,Sandra Bullock,Meryl Streep
Sahara,Action,"April 8, 2005 (United States)",6.0,Matthew McConaughey,United Kingdom,130000000,119240351,Anne Hathaway,Hugh Jackman
Corpse Bride,Animation,"September 23, 2005 (United States)",7.3,Johnny Depp,United States,40000000,118090836,Julia Roberts,Tom Hanks
Transporter 2,Action,"September 2, 2005 (United States)",6.3,Jason Statham,France,32000000,89083229,Lupita Nyong'o,Amy Adams
Two for the Money,Crime,"October 7, 2005 (United States)",6.3,Matthew McConaughey,United States,35000000,30526509,Matt Damon,Lupita Nyong'o
The New World,Biography,"January 20, 2006 (United States)",6.7,Colin Farrell,United States,30000000,49334775,Brad Pitt,Javier Bardem
Brick,Action,"April 14, 2006 (United States)",7.3,Joseph Gordon-Levitt,United States,475000,3947579,Charlize Theron,Samuel L. Jackson
Wolf Creek,Horror,"December 25, 2005 (United States)",6.2,Nathan Phillips,Australia,1000000,30894796,Samuel L. Jackson,Denzel Washington
The Exorcism of Emily Rose,Drama,"September 9, 2005 (United States)",6.7,Laura Linney,United States,19000000,145166804,Charlize Theron,Tilda Swinton
Elektra,Action,"January 14, 2005 (United States)",4.7,Jennifer Garner,Canada,43000000,56995646,Natalie Portman,Angelina Jolie
Doom,Action,"October 21, 2005 (United States)",5.2,Karl Urban,United Kingdom,60000000,58072119,George Clooney,Daniel Day-Lewis
The Legend of Zorro,Action,"October 28, 2005 (United States)",6.0,Antonio Banderas,United States,75000000,142400065,Benedict Cumberbatch,Charlize Theron
Cheaper by the Dozen 2,Adventure,"December 21, 2005 (United States)",5.5,Steve Martin,United States,60000000,130154568,Johnny Depp,Idris Elba
Æon Flux,Action,"December 2, 2005 (United States)",5.5,Charlize Theron,United States,62000000,53321673,Tilda Swinton,George Clooney
Son of the Mask,Comedy,"February 18, 2005 (United States)",2.2,Jamie Kennedy,United States,84000000,59981548,Jennifer Aniston,Chris Evans
Rumor Has It...,Comedy,"December 25, 2005 (United States)",5.5,Jennifer Aniston,United States,70000000,88933562,Tom Hanks,Amy Adams
The Producers,Comedy,"December 25, 2005 (United States)",6.3,Nathan Lane,United States,45000000,38075318,Matt Damon,Samuel L. Jackson
Kicking & Screaming,Comedy,"May 13, 2005 (United States)",5.6,Will Ferrell,United States,45000000,56070433,Kate Winslet,Morgan Freeman
The Cave,Action,"August 26, 2005 (United States)",5.1,Piper Perabo,United States,30000000,33296457,Morgan Freeman,Colin Firth
Broken Flowers,Comedy,"August 26, 2005 (United States)",7.2,Bill Murray,France,10000000,47329961,Leonardo DiCaprio,Helen Mirren
Fun with Dick and Jane,Comedy,"December 21, 2005 (United States)",6.2,Jim Carrey,United States,100000000,204681899,Emily Blunt,Denzel Washington
Imagine Me & You,Comedy,"May 25, 2006 (Germany)",6.8,Piper Perabo,United Kingdom,7900000,2635305,Leonardo DiCaprio,Natalie Portman
The Family Stone,Comedy,"December 16, 2005 (United States)",6.3,Dermot Mulroney,United States,18000000,92884429,Brad Pitt,Cate Blanchett
Just Like Heaven,Comedy,"September 16, 2005 (United States)",6.7,Reese Witherspoon,United States,58000000,102854431,Idris Elba,Samuel L. Jackson
Capote,Biography,"February 3, 2006 (United States)",7.3,Philip Seymour Hoffman,United States,7000000,49327405,Emma Stone,Tilda Swinton
The Skeleton Key,Drama,"August 12, 2005 (United States)",6.5,Kate Hudson,United States,43000000,93983911,Joaquin Phoenix,Christian Bale
The Squid and the Whale,Comedy,"December 16, 2005 (United States)",7.3,Owen Kline,United States,1500000,11098131,Saoirse Ronan,Tilda Swinton
Land of the Dead,Horror,"June 24, 2005 (United States)",6.2,John Leguizamo,United States,15000000,47074133,Natalie Portman,Matt Damon
Man of the House,Comedy,"February 25, 2005 (United States)",5.4,Tommy Lee Jones,United States,40000000,21577624,Morgan Freeman,Octavia Spencer
Elizabethtown,Comedy,"October 14, 2005 (United States)",6.4,Orlando Bloom,United States,45000000,52164016,Scarlett Johansson,Colin Firth
Chicken Little,Animation,"November 4, 2005 (United States)",5.7,Zach Braff,United States,150000000,314432837,Tom Hanks,Daniel Day-Lewis
Monster-in-Law,Comedy,"May 13, 2005 (United States)",5.6,Jennifer Lopez,United States,43000000,155457327,Amy Adams,Julia Roberts
Domino,Action,"October 14, 2005 (United States)",5.9,Keira Knightley,United States,50000000,22984628,Octavia Spencer,George Clooney
The Ring Two,Horror,"March 18, 2005 (United States)",5.4,Naomi Watts,United States,50000000,163995949,Jennifer Aniston,Emily Blunt
Deuce Bigalow: European Gigolo,Comedy,"August 12, 2005 (United States)",4.7,Rob Schneider,United States,22000000,45109561,Emily Blunt,Tilda Swinton
Harsh Times,Action,"November 10, 2006 (United States)",6.9,Christian Bale,United States,2000000,5969708,Morgan Freeman,Denzel Washington
Diary of a Mad Black Woman,Comedy,"February 25, 2005 (United States)",5.8,Kimberly Elise,United States,5500000,50652203,Nicole Kidman,Marion Cotillard
Herbie Fully Loaded,Adventure,"June 22, 2005 (United States)",4.8,Lindsay Lohan,United States,50000000,144146816,Reese Witherspoon,Emma Stone
Wallace & Gromit: The Curse of the Were-Rabbit,Animation,"October 7, 2005 (United States)",7.4,Peter Sallis,United Kingdom,30000000,194137091,Matt Damon,Marion Cotillard
The Jacket,Drama,"March 4, 2005 (United States)",7.1,Adrien Brody,Germany,29000000,21733230,Emily Blunt,Octavia Spencer
The Wedding Date,Comedy,"February 4, 2005 (United States)",6.2,Dermot Mulroney,United States,15000000,47096206,Matt Damon,Marion Cotillard
Thank You for Smoking,Comedy,"April 14, 2006 (United States)",7.6,Aaron Eckhart,United States,6500000,39323027,Matt Damon,Mark Ruffalo
Hide and Seek,Drama,"January 28, 2005 (United States)",6.0,Robert De Niro,Germany,30000000,127369981,Julia Roberts,Samuel L. Jackson
Cursed,Comedy,"February 25, 2005 (United States)",5.0,Christina Ricci,Germany,38000000,29621722,Jennifer Lawrence,Marion Cotillard
Miss Congeniality 2: Armed & Fabulous,Action,"March 24, 2005 (United States)",5.1,Sandra Bullock,United States,45000000,101393569,Jake Gyllenhaal,Helen Mirren
Bad News Bears,Comedy,"July 22, 2005 (United States)",5.8,Billy Bob Thornton,United States,35000000,34252847,Joaquin Phoenix,Saoirse Ronan
Fever Pitch,Comedy,"April 8, 2005 (United States)",6.2,Drew Barrymore,United States,30000000,50605163,Saoirse Ronan,Angelina Jolie
xXx: State of the Union,Action,"April 29, 2005 (United States)",4.5,Ice Cube,United States,113000000,71022693,Tom Cruise,Kate Winslet
Syriana,Drama,"December 9, 2005 (United States)",6.9,George Clooney,United States,50000000,93974620,Leonardo DiCaprio,Colin Firth
North Country,Drama,"October 21, 2005 (United States)",7.3,Charlize Theron,United States,35000000,25211175,Rachel McAdams,Emily Blunt
Derailed,Crime,"November 11, 2005 (United States)",6.6,Clive Owen,United States,22000000,57479076,Tilda Swinton,Denzel Washington
The Perfect Man,Comedy,"June 17, 2005 (United States)",5.5,Hilary Duff,United States,10000000,19770475,Idris Elba,Charlize Theron
Unleashed,Action,"May 13, 2005 (United States)",7.0,Jet Li,United Kingdom,45000000,50871113,Lupita Nyong'o,Tilda Swinton
Hostage,Action,"March 11, 2005 (United States)",6.5,Bruce Willis,United States,52000000,77663556,Samuel L. Jackson,Natalie Portman
The Greatest Game Ever Played,Biography,"September 30, 2005 (United States)",7.4,Shia LaBeouf,United States,26000000,15431177,Mark Ruffalo,Samuel L. Jackson
Get Rich or Die Tryin',Biography,"November 9, 2005 (United States)",5.4,50 Cent,United States,40000000,46563961,Matt Damon,Jake Gyllenhaal
Bewitched,Comedy,"June 24, 2005 (United States)",4.8,Nicole Kidman,United States,85000000,131426169,Hugh Jackman,Mark Ruffalo
Hoodwinked,Animation,"January 13, 2006 (United States)",6.4,Anne Hathaway,United States,30000000,110013167,Jake Gyllenhaal,Tilda Swinton
BloodRayne,Action,"January 6, 2006 (United States)",2.9,Kristanna Loken,Germany,25000000,3650275,Marion Cotillard,Daniel Day-Lewis
The Three Burials of Melquiades Estrada,Adventure,"February 24, 2006 (United States)",7.4,Tommy Lee Jones,France,15000000,12045362,Colin Firth,Emma Stone
Feast,Action,"January 18, 2007 (Singapore)",6.3,Navi Rawat,United States,3200000,719135,Matt Damon,Michael Fassbender
Goal! The Dream Begins,Adventure,"May 12, 2006 (United States)",6.7,Kuno Becker,United States,10000000,27610873,Viola Davis,Rachel McAdams
Man-Thing,Action,"April 21, 2005 (Singapore)",4.0,Jack Thompson,United States,30000000,1123136,Emily Blunt,Reese Witherspoon
"Good Night, and Good Luck.",Biography,"November 4, 2005 (United States)",7.4,David Strathairn,United States,7000000,54641191,George Clooney,Jake Gyllenhaal
A Lot Like Love,Comedy,"April 22, 2005 (United States)",6.6,Ashton Kutcher,United States,30000000,42886719,Joaquin Phoenix,Julia Roberts
Cry Wolf,Drama,"September 16, 2005 (United States)",5.8,Julian Morris,United States,1000000,32586408,Colin Firth,George Clooney
The Proposition,Crime,"June 9, 2006 (United States)",7.3,Ray Winstone,Australia,20000000,5048693,Natalie Portman,Lupita Nyong'o
The World's Fastest Indian,Biography,"March 24, 2006 (United States)",7.8,Anthony Hopkins,New Zealand,25000000,18299138,Hugh Jackman,Benedict Cumberbatch
Stealth,Action,"July 29, 2005 (United States)",5.1,Josh Lucas,United States,135000000,79268322,Emma Stone,Emma Stone
Hustle & Flow,Crime,"July 22, 2005 (United States)",7.3,Terrence Howard,United States,2800000,23563727,Matt Damon,Samuel L. Jackson
The Matador,Comedy,"January 27, 2006 (United States)",6.7,Pierce Brosnan,Ireland,12500000,17356268,Kate Winslet,Jake Gyllenhaal
The Fog,Horror,"October 14, 2005 (United States)",3.7,Tom Welling,United States,18000000,46201432,Sandra Bullock,Leonardo DiCaprio
Because of Winn-Dixie,Comedy,"February 18, 2005 (United States)",6.3,AnnaSophia Robb,United States,14000000,33589427,Leonardo DiCaprio,Emma Stone
Where the Truth Lies,Crime,"October 7, 2005 (Canada)",6.5,Kevin Bacon,Canada,25000000,3487678,Helen Mirren,Michael Fassbender
Must Love Dogs,Comedy,"July 29, 2005 (United States)",5.9,Diane Lane,United States,30000000,58231520,Robert De Niro,Leonardo DiCaprio
Guess Who,Comedy,"March 25, 2005 (United States)",5.9,Ashton Kutcher,United States,35000000,103121466,Emily Blunt,Ryan Gosling
The Ballad of Jack and Rose,Drama,"April 8, 2005 (United States)",6.6,Daniel Day-Lewis,United States,1500000,916051,Idris Elba,Leonardo DiCaprio
Stay,Drama,"October 21, 2005 (United States)",6.8,Ewan McGregor,United States,50000000,8483797,Natalie Portman,Rachel McAdams
The Great Raid,Action,"August 12, 2005 (United States)",6.7,Benjamin Bratt,United States,80000000,10777375,Marion Cotillard,Brad Pitt
Tideland,Drama,"August 11, 2006 (United Kingdom)",6.5,Jeff Bridges,United Kingdom,19300000,566611,Meryl Streep,Lupita Nyong'o
Alone in the Dark,Action,"January 28, 2005 (United States)",2.4,Christian Slater,Canada,20000000,12693645,Jennifer Lawrence,Robert De Niro
An American Haunting,Drama,"May 5, 2006 (United States)",5.1,Donald Sutherland,United Kingdom,14000000,29612137,Morgan Freeman,Emma Stone
Supercross,Action,"August 17, 2005 (United States)",4.3,Steve Howey,United States,16000000,3344431,Reese Witherspoon,Rachel McAdams
Oliver Twist,Crime,"September 30, 2005 (United States)",6.8,Barney Clark,France,60000000,42580321,Mark Ruffalo,Kate Winslet
White Noise,Drama,"January 7, 2005 (United States)",5.5,Michael Keaton,United Kingdom,10000000,91196419,Johnny Depp,Michael Fassbender
Are We There Yet?,Adventure,"January 21, 2005 (United States)",4.7,Ice Cube,United States,32000000,97918663,Daniel Day-Lewis,Tom Hanks
Proof,Drama,"October 7, 2005 (United States)",6.7,Gwyneth Paltrow,United States,20000000,14189860,Matt Damon,Jake Gyllenhaal
Racing Stripes,Adventure,"January 14, 2005 (United States)",5.2,Frankie Muniz,United States,30000000,90754475,Hugh Jackman,Matt Damon
A Sound of Thunder,Action,"September 2, 2005 (United States)",4.2,Edward Burns,Czech Republic,80000000,11665465,Octavia Spencer,Will Smith
The Weather Man,Comedy,"October 28, 2005 (United States)",6.5,Nicolas Cage,United States,22000000,19126398,Tom Cruise,Reese Witherspoon
Keeping Mum,Comedy,"October 6, 2006 (United States)",6.8,Rowan Atkinson,United Kingdom,169000,18586834,George Clooney,Kate Winslet
An Unfinished Life,Drama,"September 16, 2005 (United States)",7.0,Jennifer Lopez,Germany,30000000,18618284,Robert De Niro,Anne Hathaway
Boogeyman,Drama,"February 4, 2005 (United States)",4.2,Barry Watson,United States,20000000,67192859,Octavia Spencer,Samuel L. Jackson
Me and You and Everyone We Know,Comedy,"August 5, 2005 (United States)",7.3,John Hawkes,United States,800000,8012838,Scarlett Johansson,Colin Firth
Transamerica,Adventure,"March 3, 2006 (United States)",7.4,Felicity Huffman,United States,1000000,15151744,Hugh Jackman,Chris Evans
The Lost City,Drama,"May 26, 2006 (United States)",6.6,Andy Garcia,United States,9600000,4408011,Javier Bardem,Anne Hathaway
The Upside of Anger,Comedy,"April 1, 2005 (United States)",6.8,Joan Allen,United States,12000000,28237488,Robert De Niro,Will Smith
The Chumscrubber,Comedy,"October 5, 2006 (Germany)",6.9,Jamie Bell,United States,6800000,351401,Meryl Streep,Sandra Bullock
The Man,Action,"September 9, 2005 (United States)",5.6,Samuel L. Jackson,United States,33000000,13485145,Angelina Jolie,Reese Witherspoon
Valiant,Animation,"August 19, 2005 (United States)",5.5,Ewan McGregor,United Kingdom,35000000,61746888,Jennifer Lawrence,Johnny Depp
Prime,Comedy,"October 28, 2005 (United States)",6.2,Uma Thurman,United States,22000000,67937494,Michael Fassbender,Mark Ruffalo
Manderlay,Drama,"June 3, 2005 (Denmark)",7.3,Bryce Dallas Howard,Denmark,14200000,674918,Viola Davis,Daniel Day-Lewis
Junebug,Comedy,"September 16, 2005 (United States)",6.9,Embeth Davidtz,United States,1000000,3399228,Reese Witherspoon,Jennifer Lawrence
Dominion,Drama,"August 1, 2005 (United Kingdom)",5.2,Stellan Skarsgård,United States,30000000,251495,Natalie Portman,Ryan Gosling
Dreamer,Drama,"October 21, 2005 (United States)",6.8,Kurt Russell,United States,32000000,38741732,Ryan Gosling,Julia Roberts
Factotum,Comedy,"April 29, 2005 (Norway)",6.6,Matt Dillon,Norway,1000000,2708087,George Clooney,Emily Blunt
Everything Is Illuminated,Comedy,"November 4, 2005 (Mexico)",7.4,Elijah Wood,United States,7000000,3601974,Tilda Swinton,Octavia Spencer
Thumbsucker,Comedy,"October 7, 2005 (United States)",6.6,Lou Taylor Pucci,United States,4000000,2138742,Javier Bardem,Tom Hanks
Rebound,Comedy,"July 1, 2005 (United States)",5.2,Martin Lawrence,United States,33100000,17492014,Meryl Streep,Octavia Spencer
The Departed,Crime,"October 6, 2006 (United States)",8.5,Leonardo DiCaprio,United States,90000000,291465373,Christian Bale,Benedict Cumberbatch
The Fast and the Furious: Tokyo Drift,Action,"June 16, 2006 (United States)",6.0,Lucas Black,United States,85000000,158964610,Ryan Gosling,Natalie Portman
Talladega Nights: the Ballad of Ricky Bobby,Comedy,"August 4, 2006 (United States)",6.6,Will Ferrell,United States,72500000,163362095,Daniel Day-Lewis,Will Smith
The Prestige,Drama,"October 20, 2006 (United States)",8.5,Christian Bale,United Kingdom,40000000,109676311,Julia Roberts,Meryl Streep
Cars,Animation,"June 9, 2006 (United States)",7.1,Owen Wilson,United States,120000000,461991867,Helen Mirren,Sandra Bullock
300,Action,"March 9, 2007 (United States)",7.6,Gerard Butler,United States,65000000,456068181,Marion Cotillard,Tilda Swinton
